id;curso;maior_nota;menor_nota;media;atingiu_media;faltas;status;evadiu;atraso;acordo;periodo
20154;Administração;7,3;0,5;4,63;0;20;Cursando;0;1;0;10
20156;História;8,5;5;7,21;1;10;Cursando;0;0;0;2
20159;Biologia;9,5;5;6,5;1;10;Cursando;0;1;0;10
20162;Administração;6,5;3,5;5,5;1;16;Cursando;0;1;0;8
20163;Administração;7;3;5,14;1;8;Cursando;0;1;0;10
20164;Administração;0,5;0;0,1;0;30;Cursando;0;0;0;6
20165;Enfermagem;8,5;0;1,94;0;14;Cursando;0;0;0;8
20171;Educação Física;10;6,5;8,44;1;8;Cursando;0;1;0;10
20174;Administração;8;2;5,17;1;14;Cursando;0;0;0;10
20175;Letras;10;7,5;8,31;1;6;Cursando;0;0;0;10
20183;Letras;9,5;5,5;7,33;1;6;Cursando;0;1;0;8
20186;Enfermagem;7,5;5;6,13;1;12;Cursando;0;0;0;10
20192;Enfermagem;6;5;5,5;1;20;Cursando;0;1;0;10
20197;Educação Física;6;5,5;5,75;1;16;Cursando;0;0;0;10
20201;Matemática;9;5,5;7,5;1;0;Cursando;0;0;0;10
20204;Administração;10;9,5;9,92;1;4;Cursando;0;0;0;10
20209;Administração;8,5;0,5;5,3;1;48;Cursando;0;1;0;8
20213;Educação Física;8,5;6;7,08;1;6;Cursando;0;1;0;10
20215;Gastronomia;8,5;5,5;7;1;6;Cursando;0;0;0;10
20218;Matemática;5,5;5,5;5,5;1;0;Cursando;0;0;0;10
20223;Administração;7;5;5,88;1;4;Cursando;0;1;0;6
20230;Educação Física;10;5;6,75;1;18;Cursando;0;0;0;10
20232;Administração;10;7,5;9,42;1;8;Cursando;0;0;0;8
20234;Enfermagem;7;2;4,61;0;16;Evadido;1;1;1;8
20235;Matemática;9,5;1,5;5,9;1;0;Cursando;0;1;0;8
20236;Educação Física;9;1;5,07;1;12;Cursando;0;0;0;8
20237;Administração;9,5;5,5;6,79;1;4;Cursando;0;0;0;8
20239;Administração;8;2;4,4;0;6;Cursando;0;1;0;10
20241;Administração;8,5;5,5;6,8;1;14;Cursando;0;1;0;10
20246;Administração;6;3;4,4;0;16;Cursando;0;1;0;8
20259;Administração;7,5;2;4;0;18;Cursando;0;1;0;8
20260;Letras;7;5;5,94;1;6;Cursando;0;0;0;8
20261;Administração;7;3;5,5;1;18;Cursando;0;1;0;10
20263;Matemática;7;0,5;3,57;0;8;Evadido;1;1;0;8
20264;Matemática;10;8;9;1;8;Cursando;0;0;0;10
20273;Educação Física;8,5;7;7,75;1;6;Cursando;0;0;0;10
20275;Educação Física;7;4,5;5,67;1;12;Cursando;0;1;0;6
20282;Educação Física;9;0,5;6,79;1;16;Cursando;0;1;0;8
20285;Administração;7;4,5;5,67;1;24;Cursando;0;1;0;10
20294;Letras;9,5;3,5;6;1;18;Cursando;0;1;0;6
20295;Educação Física;5;0;2,25;0;54;Cursando;0;1;1;8
20298;Educação Física;7,5;7;7,25;1;4;Cursando;0;0;0;10
20300;Administração;7,5;4;5,7;1;14;Cursando;0;1;0;10
20301;Educação Física;7,5;1;4,93;0;8;Cursando;0;0;0;8
20310;Letras;8,5;0,5;5;1;18;Cursando;0;1;1;8
20327;Matemática;7,5;3,5;6,2;1;8;Cursando;0;0;0;10
20329;Administração;5;0,5;2,88;0;14;Evadido;1;1;1;6
20333;Educação Física;9,5;7,5;8,57;1;8;Cursando;0;1;0;8
20337;Matemática;5;0,5;3,42;0;12;Evadido;1;0;0;4
20340;Administração;6,5;5,5;6;1;12;Cursando;0;1;0;8
20344;Gastronomia;8;1,5;5,06;1;20;Cursando;0;1;0;8
20355;Administração;7;5;6;1;12;Cursando;0;1;0;10
20356;Administração;3;0;0,6;0;42;Cursando;0;0;0;6
20357;Letras;10;6;8,25;1;16;Cursando;0;0;0;8
20359;Educação Física;7;6,5;6,75;1;8;Cursando;0;1;0;10
20367;Matemática;8;1;5,25;1;10;Cursando;0;1;0;8
20375;Educação Física;7;5,5;6,17;1;4;Cursando;0;0;0;10
20378;Administração;6,5;3;5;1;12;Cursando;0;1;0;8
20382;Matemática;8,5;5;7;1;8;Cursando;0;1;0;10
20383;Administração;6;5;5,42;1;22;Cursando;0;1;0;8
20392;Matemática;6,5;0,5;4,11;0;10;Cursando;0;1;0;6
20404;Educação Física;6,5;3;5,33;1;16;Cursando;0;0;0;6
20429;Educação Física;10;6,5;8,25;1;4;Cursando;0;0;0;10
20430;Matemática;9;4;6,73;1;4;Cursando;0;0;0;10
20448;Enfermagem;6;0;1,39;0;14;Cursando;0;1;0;8
20451;Matemática;5;0;2,43;0;40;Cursando;0;0;0;8
20461;Administração;7;0;3,5;0;16;Cursando;0;1;0;10
20463;Educação Física;7,5;5;6,13;1;2;Cursando;0;0;0;10
20466;Administração;7;0,5;4,88;0;8;Cursando;0;1;0;8
20468;Administração;9,5;5,5;6,61;1;8;Cursando;0;1;0;10
