id;curso;maior_nota;menor_nota;media;atingiu_media;faltas;status;evadiu;atraso;acordo;periodo
28772;Matemática;7,9;5;5,96;1;10;Cursando;0;1;0;8
28774;Matemática;0;0;0;0;54;Cursando;0;1;0;2
28774;Matemática;0;0;0;0;54;Outros;0;1;0;4
28775;Matemática;10;8,2;9,49;1;2;Cursando;0;0;0;8
28776;Matemática;8,28;5,48;6,87;1;4;Cursando;0;0;0;10
28780;Matemática;9;6,65;7,59;1;8;Aluno Formado;0;0;0;10
28785;Enfermagem;8,55;1;3,46;0;20;Cursando;0;1;0;8
28786;Matemática;8,65;5,85;7,51;1;4;Cursando;0;1;0;10
28787;Administração;7,75;5,55;6,38;1;12;Cursando;0;1;0;6
28788;Administração;6,23;5,03;5,54;1;10;Cursando;0;1;0;8
28793;Administração;8,25;5,85;6,57;1;4;Aluno Formado;0;0;0;10
28796;Administração;5,81;2,1;4,03;0;12;Cursando;0;0;0;6
28800;Administração;6,78;5,48;6,24;1;18;Aluno Formado;0;1;0;10
28801;Administração;6,38;1,33;4,94;0;18;Cursando;0;1;0;8
28802;Administração;5,13;1,73;4,29;0;18;Cursando;0;1;0;8
28803;Administração;8,75;5;6,59;1;12;Aluno Formado;0;1;0;10
28805;Administração;8,63;5;6,1;1;14;Cursando;0;1;0;10
28808;Administração;8;5,65;6,7;1;12;Aluno Formado;0;0;0;10
28810;Administração;8,5;5,34;6,62;1;10;Aluno Formado;0;0;0;10
28812;Letras;6,8;0,66;4,88;0;14;Cursando;0;1;0;8
28814;Administração;8,13;6,23;6,85;1;12;Aluno Formado;0;0;0;10
28816;Administração;7,7;0,5;3,61;0;36;Cursando;0;0;0;8
28817;Administração;2,85;0;1,06;0;34;Cursando;0;0;0;8
28818;Administração;8,08;5,28;6,54;1;4;Cursando;0;1;1;8
28819;Administração;7,23;5;5,93;1;6;Aluno Formado;0;0;0;10
28820;Administração;8,13;5;6,35;1;12;Aluno Formado;0;0;0;10
28821;Administração;8,25;5,65;6,88;1;10;Aluno Formado;0;0;0;10
28825;Administração;6,63;0,88;4,36;0;40;Cursando;0;1;0;8
28828;Administração;0;0;0;0;48;Cursando;0;1;0;8
