id,curso,maior_nota,menor_nota,media,atingiu_media,faltas,status,atraso,acordo,periodo,Label,Score
18599,Administração,"8,9","5,6","7,2",1,20,Aluno Formado,1,0,10,0,0.0003
18617,Letras,"8,06","2,15","5,19",1,12,Cursando,1,1,8,0,0.0015
19020,Enfermagem,"8,34",5,"6,71",1,4,Aluno Formado,0,0,10,0,0.0
19478,Matemática,"6,9",5,"5,67",1,6,Aluno Formado,1,0,10,0,0.0
19519,Educação Física,"5,8",0,4,0,12,Cursando,1,0,10,0,0.0
19562,Enfermagem,"2,35","0,15","0,75",0,34,Cursando,1,0,8,0,0.0963
19572,Matemática,"8,37",5,"6,73",1,2,Aluno Formado,0,0,10,0,0.0
19814,Matemática,"3,4",0,"0,57",0,42,Cursando,1,0,8,0,0.0068
19855,Enfermagem,5,"0,63","1,94",0,16,Cursando,1,1,10,0,0.0002
19875,Matemática,"7,5","5,04","5,9",1,10,Aluno Formado,1,0,10,0,0.0001
19888,Matemática,"6,95",4,"5,54",1,24,Cursando,0,0,8,0,0.0001
19892,Matemática,"8,89",5,"6,22",1,12,Cursando,1,0,10,0,0.0
19906,Letras,"6,55","5,2","5,87",1,20,Cursando,0,0,8,0,0.0001
19910,Gastronomia,"7,9","5,1","6,61",1,8,Cursando,0,0,10,0,0.0
19920,Biologia,"7,12",5,"6,29",1,2,Cursando,1,0,8,0,0.0
19944,Biologia,"7,35","3,06","5,69",1,12,Aluno Formado,1,0,10,0,0.0
19971,Enfermagem,"7,08","0,5","3,89",0,14,Cursando,1,0,6,0,0.0719
19972,Administração,"7,55",5,"5,85",1,20,Cursando,1,0,10,0,0.0005
19973,Enfermagem,"6,4","0,2","3,97",0,46,Cursando,1,0,10,0,0.0258
19980,Administração,"6,25","3,15","5,18",1,12,Aluno Formado,1,1,10,0,0.0001
19983,Enfermagem,"9,28","0,88","2,34",0,28,Cursando,1,1,8,0,0.0055
19984,Administração,"6,75",5,"5,67",1,12,Aluno Formado,1,1,10,0,0.0001
19985,Educação Física,"6,76",5,"6,15",1,16,Aluno Formado,0,0,10,0,0.0003
19999,Administração,"5,85","0,25","1,89",0,48,Cursando,0,0,10,0,0.0102
20016,Administração,"6,33","0,63","4,53",0,20,Cursando,1,0,6,0,0.0355
20018,Educação Física,6,"0,5","2,01",0,48,Cursando,0,0,6,1,0.9606
20022,Letras,"8,22",1,"4,46",0,34,Cursando,0,0,6,1,0.9505
20025,Biologia,"8,07","6,28","7,18",1,4,Cursando,0,0,6,0,0.0001
20037,Educação Física,"8,2","6,7","7,21",1,4,Aluno Formado,0,0,10,0,0.0
20052,Administração,"7,55","3,61","5,47",1,8,Aluno Formado,1,0,10,0,0.0001
20055,Educação Física,0,0,0,0,48,Cursando,0,0,8,0,0.0201
20059,Administração,"8,45","3,4","6,06",1,12,Aluno Formado,1,0,10,0,0.0012
20070,Educação Física,"6,08","3,29","5,1",1,30,Cursando,0,0,6,0,0.0189
20076,Letras,"9,1","3,1","6,16",1,2,Cursando,0,0,10,0,0.0002
20080,Educação Física,"5,25","2,75","4,34",0,20,Aluno Formado,1,0,10,0,0.0011
20084,Administração,"5,68","0,13","1,98",0,40,Cursando,1,0,8,0,0.0064
20101,Matemática,"9,02","2,33","5,22",1,8,Cursando,0,0,8,0,0.0307
20103,Letras,"9,18","6,65","8,08",1,8,Cursando,1,0,6,0,0.0058
20105,Administração,"5,25","0,15","1,48",0,26,Evadido,0,0,6,1,0.7381
20118,Matemática,"6,65","1,5","3,91",0,14,Evadido,1,0,8,0,0.3447
20119,Letras,"7,85","5,29","6,55",1,28,Cursando,1,1,10,0,0.0001
20125,Administração,"0,08","0,08","0,08",0,16,Evadido,1,0,6,1,0.7507
20126,Administração,"6,9","5,35","6,08",1,12,Cursando,0,0,8,0,0.0856
20127,Educação Física,"7,63","5,92","6,5",1,7,Cursando,0,0,10,0,0.0001
20156,História,8,"7,7","7,8",1,4,Cursando,0,0,4,0,0.0004
20162,Administração,"6,3",5,"5,46",1,12,Aluno Formado,1,0,10,0,0.0002
20163,Administração,"7,83","6,18","6,73",1,8,Aluno Formado,1,0,10,0,0.0001
20164,Administração,0,0,0,0,44,Evadido,1,0,8,0,0.2262
20165,Enfermagem,"8,53","0,63","3,26",0,14,Cursando,0,0,8,1,0.5282
20168,Matemática,"9,02","1,63","4,84",0,18,Cursando,1,0,8,0,0.0332
20183,Letras,"6,75","5,8","6,42",1,28,Cursando,1,0,8,0,0.0004
20186,Enfermagem,0,0,0,0,4,Cursando,1,0,10,0,0.0011
20215,Enfermagem,"9,75","5,4","7,49",1,6,Cursando,1,0,6,0,0.0001
20223,Administração,9,"5,25","6,72",1,14,Cursando,1,0,10,0,0.0004
20232,Administração,10,"8,5","9,29",1,4,Aluno Formado,0,0,10,0,0.0
20235,Matemática,"6,58",5,"5,79",1,0,Aluno Formado,1,0,10,0,0.0003
20236,Educação Física,"6,6","2,22","4,93",0,8,Evadido,0,0,8,1,0.9722
20239,Administração,"7,2","1,3","4,25",0,16,Aluno Formado,1,0,10,0,0.0114
20246,Administração,"6,35","5,2","5,86",1,14,Cursando,1,1,10,0,0.0006
20259,Administração,"8,1",1,"4,63",0,18,Cursando,0,1,6,1,0.7921
20260,Letras,"8,9","7,05","7,93",1,27,Aluno Formado,0,0,10,0,0.0
20263,Matemática,5,"0,63","3,12",0,8,Cursando,1,0,10,0,0.0507
20275,Educação Física,"7,4","5,23","6,27",1,12,Cursando,1,0,8,0,0.0333
20282,Educação Física,"8,58","6,53","7,56",1,8,Aluno Formado,1,0,10,0,0.0001
20287,Educação Física,"0,24",0,"0,04",0,60,Cursando,1,0,6,1,0.9615
20294,Letras,"8,57","5,25","6,39",1,10,Cursando,0,0,8,0,0.0033
20295,Educação Física,"6,7",0,"3,34",0,70,Cursando,1,1,4,0,0.2782
20301,Educação Física,"7,05","5,45","5,94",1,4,Cursando,0,0,8,0,0.0
20310,Letras,"6,59","2,12","4,75",0,16,Cursando,1,1,8,0,0.1434
20316,Biologia,8,"3,2","5,39",1,20,Cursando,1,0,8,0,0.0002
20333,Educação Física,"7,5","6,6","7,05",1,8,Aluno Formado,0,0,10,0,0.0
20340,Administração,"7,33","4,38","5,92",1,10,Aluno Formado,0,0,10,0,0.0
20344,Gastronomia,"8,95","1,83","5,66",1,24,Cursando,1,0,10,0,0.0
20354,Administração,"5,88","3,78","4,93",0,6,Aluno Formado,1,0,10,0,0.0
20356,Administração,"2,15",0,"0,63",0,48,Cursando,0,0,8,0,0.0074
20357,Letras,5,5,5,1,12,Aluno Formado,0,0,10,0,0.0001
20367,Matemática,"4,25","1,8","2,78",0,10,Cursando,1,0,10,0,0.0063
20383,Administração,"8,6",5,"6,28",1,16,Aluno Formado,1,0,10,0,0.0001
20392,Matemática,"6,43","3,63","4,86",0,6,Cursando,0,0,8,0,0.0026
20404,Educação Física,"8,33","4,38","5,75",1,16,Cursando,1,0,8,0,0.0002
20448,Enfermagem,5,0,"1,24",0,26,Cursando,1,0,8,0,0.0567
20451,Matemática,5,"0,75","3,04",0,26,Cursando,0,0,6,1,0.568
20461,Administração,"7,6","0,75","5,29",1,38,Cursando,1,0,10,0,0.0
20465,Administração,"6,9","6,9","6,9",1,6,Aluno Formado,1,0,10,0,0.0
20466,Administração,8,"5,6","6,35",1,8,Cursando,1,0,8,0,0.0002
20489,Biologia,"7,88","3,7","6,02",1,2,Aluno Formado,0,0,10,0,0.0001
20510,Enfermagem,"7,45","0,44","4,31",0,12,Evadido,1,0,6,0,0.4176
20514,Educação Física,"6,8","2,69","5,09",1,26,Evadido,1,1,6,0,0.2576
20516,Matemática,"7,88","3,53","5,9",1,12,Aluno Formado,1,0,10,0,0.0004
20518,Matemática,"8,34","1,1","4,11",0,12,Cursando,0,0,8,1,0.5595
20526,Administração,"6,65","0,15","4,51",0,16,Cursando,1,0,8,1,0.9029
20531,Enfermagem,"0,75",0,"0,22",0,40,Cursando,1,0,6,1,0.9166
20551,Educação Física,5,0,"1,55",0,30,Evadido,1,0,8,1,0.9795
20555,Letras,"8,7",7,"7,85",1,16,Aluno Formado,1,0,10,0,0.0021
20556,Biologia,"9,33","5,08","6,54",1,6,Cursando,0,0,10,0,0.0
20583,História,"2,8",1,"1,68",0,20,Evadido,1,0,4,1,0.9456
20588,Administração,"6,74",5,"5,67",1,4,Cursando,0,0,8,0,0.0001
20590,Enfermagem,5,"2,68","4,17",0,6,Cursando,0,0,8,0,0.0018
20645,Letras,"7,55","2,64","6,13",1,16,Cursando,0,0,8,0,0.0261
22245,Administração,"6,88","3,53","4,94",0,6,Cursando,0,0,8,0,0.0005
22250,Administração,5,0,"1,88",0,20,Cursando,0,0,8,1,0.981
22254,Administração,7,5,"5,4",1,10,Cursando,1,0,8,0,0.0038
22257,Letras,"0,16","0,16","0,16",0,26,Evadido,1,1,10,0,0.0026
22277,Administração,0,0,0,0,40,Cursando,1,0,4,0,0.0117
22290,Matemática,"6,68","2,68","4,49",0,18,Cursando,0,0,10,0,0.0129
22291,Educação Física,"7,63","6,25","6,81",1,8,Aluno Formado,1,0,10,0,0.0
22306,Letras,"8,4","5,1","6,18",1,12,Cursando,0,0,8,0,0.0444
22311,Administração,"5,5",0,"2,46",0,28,Cursando,1,0,8,0,0.1694
22313,Administração,"7,35","0,5","4,99",0,16,Cursando,1,0,10,0,0.0047
22316,Administração,"1,15","1,15","1,15",0,6,Aluno Formado,1,0,10,0,0.0
22341,Educação Física,"5,32",0,"1,18",0,54,Cursando,1,0,10,0,0.0008
22604,Administração,"6,58","1,43","5,08",1,8,Cursando,1,1,8,0,0.0002
22653,Educação Física,"8,03","5,13","6,87",1,8,Aluno Formado,1,0,10,0,0.0
22665,Educação Física,"7,22","7,22","7,22",1,12,Aluno Formado,0,0,10,0,0.0
22672,Educação Física,"6,44","0,43","4,45",0,14,Cursando,0,0,10,0,0.0007
22717,Administração,"7,75",5,"6,33",1,18,Outros,0,0,2,0,0.3768
22720,Biologia,"5,9","5,9","5,9",1,25,Cursando,0,0,10,0,0.0
22730,Educação Física,"8,23","7,28","7,79",1,6,Aluno Formado,0,0,10,0,0.0
23156,Administração,"7,2",1,"4,98",0,30,Cursando,1,0,8,1,0.9151
23157,Administração,"9,3","5,35","7,05",1,6,Cursando,0,0,8,0,0.0
23164,Gastronomia,"6,45","2,58","4,89",0,4,Cursando,1,0,8,0,0.0005
23170,Administração,7,"4,6","5,91",1,8,Cursando,0,0,8,0,0.0002
23183,Administração,"7,83","5,13","6,67",1,4,Cursando,0,0,8,0,0.0
23192,Enfermagem,"9,13","2,68","4,61",0,6,Cursando,0,0,6,0,0.0005
23195,Administração,"6,08",5,"5,27",1,6,Cursando,0,0,8,0,0.0
23208,Administração,"6,74","0,5","3,95",0,24,Cursando,1,1,8,0,0.2662
23209,Educação Física,"8,45","5,78","7,42",1,6,Aluno Formado,0,0,10,0,0.0
23221,Educação Física,"5,85","0,32","3,79",0,12,Cursando,1,0,8,1,0.8237
23224,Enfermagem,"7,15","2,43","4,64",0,4,Cursando,0,0,8,0,0.0013
23230,Administração,"5,53","2,95","4,03",0,20,Cursando,0,0,8,1,0.9717
23231,Biologia,"9,28",5,"6,53",1,4,Aluno Formado,0,0,10,0,0.0
23232,Enfermagem,"6,98",5,"6,01",1,10,Aluno Formado,0,0,10,0,0.0011
23233,Biologia,"8,6","2,85","5,68",1,4,Cursando,1,0,8,0,0.0023
23237,Administração,9,"3,9","5,99",1,28,Cursando,0,0,10,0,0.0002
23292,Enfermagem,"7,27","2,93","5,65",1,4,Cursando,0,0,8,0,0.0048
23300,Gastronomia,5,"2,3","3,86",0,4,Cursando,1,0,8,0,0.0062
23312,Educação Física,"7,15","3,77","5,47",1,10,Cursando,1,0,8,0,0.007
23326,Gastronomia,"7,78","6,23","7,11",1,6,Aluno Formado,0,0,10,0,0.0
23335,Educação Física,"4,1","0,5","2,28",0,30,Cursando,1,0,6,0,0.2503
23336,Administração,"6,88","2,65","5,21",1,8,Cursando,0,0,10,0,0.0001
23340,Letras,"7,3","3,48","4,96",0,27,Cursando,0,0,10,0,0.3921
23345,Matemática,"7,75","5,85","7,21",1,6,Aluno Formado,1,0,10,0,0.0
23349,Enfermagem,"6,58","6,58","6,58",1,4,Aluno Formado,1,0,10,0,0.0
23367,Gastronomia,"8,1","3,45","5,53",1,10,Cursando,0,0,10,0,0.0004
23368,Letras,"7,65",5,"5,89",1,8,Cursando,0,0,6,0,0.0617
23372,Administração,10,"5,65","8,23",1,6,Aluno Formado,0,0,10,0,0.0
23385,Educação Física,"8,87","4,15","6,12",1,14,Cursando,0,0,8,0,0.018
23386,Enfermagem,"8,07","2,33","5,61",1,4,Cursando,1,0,10,0,0.0
23387,Matemática,"8,28","2,48","5,44",1,6,Cursando,1,0,8,0,0.0001
23390,Biologia,"9,02",5,"7,4",1,24,Cursando,1,0,10,0,0.0005
23391,Biologia,"6,3","1,49","5,12",1,4,Cursando,0,0,8,0,0.0006
23395,Administração,"7,7","0,5","4,1",0,20,Cursando,1,0,6,0,0.4412
23398,Educação Física,"8,58","5,78","7,1",1,14,Aluno Formado,0,0,10,0,0.0002
23399,Matemática,"8,58",5,"7,06",1,10,Cursando,1,0,10,0,0.0001
23400,Matemática,"7,4","1,5","4,21",0,10,Cursando,0,0,8,0,0.2782
23401,Letras,"7,55","0,95","5,42",1,10,Cursando,1,0,8,0,0.0024
23403,Biologia,"6,24","5,38","5,84",1,6,Aluno Formado,1,0,10,0,0.0
23413,Administração,"7,13",5,"6,1",1,4,Cursando,0,0,8,0,0.0006
23423,Matemática,"5,78","1,5","4,2",0,20,Cursando,1,0,8,0,0.013
23428,Administração,"6,75","3,2","4,98",0,6,Aluno Formado,0,0,10,0,0.0004
23439,Gastronomia,"8,4","5,05","7,22",1,4,Aluno Formado,1,0,10,0,0.0
23441,Administração,"5,3",0,"2,81",0,30,Cursando,0,0,8,0,0.0097
23448,Administração,5,0,"1,39",0,18,Cursando,1,0,8,0,0.0067
23449,Enfermagem,"4,38","0,13","2,14",0,18,Evadido,1,1,10,0,0.0912
23450,Enfermagem,"0,4",0,"0,05",0,40,Cursando,0,0,8,0,0.0008
23451,Letras,"9,55","1,28","5,97",1,14,Cursando,0,0,6,1,0.7235
23456,Educação Física,"8,45","1,15","5,19",1,24,Aluno Formado,1,0,10,0,0.0001
23458,Administração,"8,38","5,84","6,58",1,12,Aluno Formado,1,0,10,0,0.0004
23462,Enfermagem,"9,25","1,4","5,42",1,10,Cursando,1,0,8,0,0.0031
23468,Matemática,"7,68","2,88","5,4",1,10,Cursando,0,0,8,0,0.0692
23480,Matemática,"8,3","0,75","3,99",0,18,Cursando,1,1,8,0,0.0194
23483,Matemática,"8,53","2,48","5,19",1,6,Cursando,0,0,6,0,0.0168
23488,Letras,"6,9","5,93","6,6",1,10,Cursando,0,0,8,0,0.01
23493,Educação Física,"0,8",0,"0,16",0,60,Evadido,1,0,6,0,0.0315
23501,Letras,"7,6","3,61","6,62",1,12,Cursando,1,0,6,0,0.0385
23515,Educação Física,"3,15","0,75","1,52",0,22,Evadido,0,0,8,0,0.0585
23536,Enfermagem,"7,4","1,65","4,69",0,6,Cursando,0,0,8,0,0.0304
23540,Administração,"9,15","5,4","7,08",1,10,Aluno Formado,0,0,10,0,0.0002
23542,Matemática,"7,7","5,2","6,95",1,10,Aluno Formado,1,0,10,0,0.0001
23544,Enfermagem,"5,48","3,66","4,79",0,8,Cursando,1,0,8,0,0.0023
23548,Biologia,"5,98","2,04","4,61",0,16,Evadido,0,0,8,0,0.0018
23549,Gastronomia,"8,53","6,03","7,1",1,8,Aluno Formado,1,0,10,0,0.0001
23562,Administração,"6,55",5,"5,87",1,8,Cursando,1,0,8,0,0.0405
23565,Administração,"8,4",5,"6,25",1,8,Aluno Formado,0,0,10,0,0.0003
23573,Letras,"7,5","5,43","6,24",1,6,Aluno Formado,0,0,10,0,0.0001
23577,Administração,"8,08","5,58","6,83",1,4,Aluno Formado,0,0,10,0,0.0001
23580,Administração,"6,25","6,25","6,25",1,16,Aluno Formado,0,0,10,0,0.0001
23582,Gastronomia,"8,48","3,03","5,63",1,4,Cursando,0,0,10,0,0.0001
23583,Educação Física,"7,07","4,63","6,17",1,14,Cursando,1,0,9,1,0.5404
23585,Gastronomia,"6,73","1,27","4,52",0,16,Cursando,1,0,10,0,0.0016
23588,Educação Física,"7,7","1,35","5,06",1,8,Cursando,0,0,8,1,0.6482
23590,Educação Física,"7,9","5,54","6,48",1,9,Cursando,0,0,10,0,0.0028
23591,Letras,"7,43","0,5","4,97",0,20,Cursando,0,0,10,0,0.0001
23594,Administração,"6,8","5,5","5,91",1,10,Cursando,0,0,8,0,0.0127
23595,História,"6,8","2,3","5,13",1,10,Cursando,0,0,4,0,0.2117
23608,Letras,"7,9","6,1","6,93",1,28,Aluno Formado,1,0,10,0,0.0
23615,Gastronomia,2,2,2,0,18,Cursando,1,0,10,0,0.0022
23616,Gastronomia,"7,91",5,"6,38",1,6,Aluno Formado,1,0,10,0,0.0
23619,Administração,"8,35",5,"5,95",1,12,Cursando,1,0,9,1,0.7509
23620,Administração,"1,9","0,5","1,14",0,36,Cursando,0,0,8,0,0.0046
23621,Administração,"6,05",0,"3,45",0,12,Evadido,1,0,8,0,0.0075
